거래코드,거래처코드,발행구분,거래구분,사업자번호,상호,성명,사업장주소,업태,종목,발행일자,거래내용,공급가액,세액,합계금액,결제유형,작성자,수정일자,최근사용자,transaction_contents,currency
3754E0C69D14C14798348C990AF58F75,A999FA8DA5F9CB4097E3EE778E6CDCA8,,,106-86-60713,주식회사 이엠데이타,하경열,"서울특별시 용산구 원효로128,3층303호(원효로3가,e-테크벨리오피스텔)",서비스 도매 및 소매업,소프트웨어개발및판매 컴퓨터주변기,2024-03-11 0:00,SOLIDWORKS Professional,14500000,1450000,15950000,현금,pshcan,2024-03-11 0:00,pshcan,,KRW
8D27A18B252CF4439FE31A3337EFBAC2,B31A9CC23E373B488D068C8371720DE1,발행,,129-86-30906,㈜인텔릭스,반천식,"경기도 성남시 분당구 판교로 700, E동 801호(야탑동,분당테크노파크)","제조업,서비스","임베디드하드웨어,연구및개발업",2024-02-27 0:00,SOLIDWORKS Professional,10500000,1050000,11550000,현금,ksllkd,2024-03-11 0:00,ksd2046,,KRW
16467E412769F449B2E4C0998DB10946,05C03BBD9DA47D44B0979F07EA764A52,,,256-81-03064,주식회사 메이크,"김재열, 양철승","경기도 광명시 일직로 43, 비동 2510호(일직동, 광명역 지아이디씨)",정보통신업,컴퓨터 시스템 통합 자문 및 구축 서비스업,2024-03-08 0:00,SOLIDWORKS 비활성화,300000,30000,330000,현금,ksllkd,2024-03-08 0:00,ksllkd,,KRW
63EF5E82E2DD96439B862A3D81C66F26,E02AF14A45FE1841BE5BD18252C9A8C2,발행,,318-81-00609,인투코어테크놀로지주식회사,엄세훈,"대전광역시 유성구 테크노4로 17, 비동 5층 514호(관평동, 비즈센터)","제조업,서비스",CO2분해장치 외,2024-03-08 0:00,CAM350+DFM Subscription,1850000,185000,2035000,현금,ksllkd,2024-03-08 0:00,hspark,,KRW
E54185EA530955499A2938D3F321257A,24C3FA8E932A4D4B9AEF87F452E50CBF,,,106-86-66925,㈜하코그래픽솔루션 (HAKO GS),임미정,"서울특별시 용산구 서빙고로 67, 103동 3층 302호(용산동5가, 파크타워)","도소매,서비스",컴퓨터및주변기기,2024-03-08 0:00,SOLIDWORKS Subscription Service,16300000,1630000,17930000,현금,ksllkd,2024-03-08 0:00,ksllkd,,KRW
15492348F0CC504F8C4B47573F7E5681,0929DD423478ED4F978BE79959BA32B6,,,367-86-00232,비나에프씨엠 주식회사,전회권,"전라북도 전주시 덕진구 반룡로 85(팔복동2가, 트윈테크)",제조업,수소연료전지분리판,2024-03-07 0:00,SOLIDWORKS Subscription Service 이후 Disable,500000,50000,550000,현금,ksllkd,2024-03-07 0:00,ksllkd,,KRW
39432793C5CF4B46971218B014F572B6,1C1FAE3F31FCE34A8991294DDFEDC5F3,,,811-87-01244,주식회사 피엔티,김경용,경기도 파주시 파주읍 우계로 251-24,"제조업, 도매 및 소매업",LCD 반도체관련 기계 제조 외,2024-03-07 0:00,SOLIDWORKS 사용권 Disable(강제 비활성화),500000,50000,550000,현금,ksllkd,2024-03-07 0:00,ksllkd,,KRW
8E56B83ACE88B242858EE3C164142B31,04D63670CFA0B94EAAA2C7527359D67E,,,206-81-25312,㈜테크로스,"박규원,이동건","서울특별시 강남구 삼성로 528 (삼성동, 부방빌딩 1층)",제조업,"선박수리업, 환경측정기기및처리시스템",2024-02-29 0:00,HP WORKSTATION,8800000,880000,9680000,현금,ksllkd,2024-03-07 0:00,ksllkd,,KRW
1841B6F804393A4BB8375E267AC9EC8D,283B641B31FC0245A8F2B045B319F0A1,,,628-85-00936,효성중공업㈜ 창원1공장,YOKOTA TAKESHI,경상남도 창원시 성산구 연덕로 171(내동),"제조업,건설업","변압기,차단기,전동기,발전기 외",2024-02-29 0:00,3D 마이그레이션 외주 설계 용역비,11929124,1192912,13122036,현금,ksllkd,2024-03-06 0:00,ksllkd,,KRW
2C0D861FFE4699469D491F0F0A44C199,4D4D478F715B554D9DDB6B26978390F3,발행,,621-81-11977,㈜퓨트로닉,"고진호, 안중기",부산광역시 해운대구 반송로513번길 66-21(석대동),제조업,"전자정보통신기기, 자동차전장품",2024-02-26 0:00,SOLIDWORKS Subscription Service 외외,10000000,1000000,11000000,현금,ksllkd,2024-03-06 0:00,ksllkd,,KRW
